Gene stable ID	Gene stable ID version	Gene name	Chromosome/scaffold name
ENSMUSG00000017146	ENSMUSG00000017146.12	Brca1	11
ENSMUSG00000016524	ENSMUSG00000016524.12	Il19	1
ENSMUSG00000025321	ENSMUSG00000025321.14	Itgb8	12
ENSMUSG00000042675	ENSMUSG00000042675.15	Ypel3	7
ENSMUSG00000020728	ENSMUSG00000020728.17	Cep112	11
ENSMUSG00000009905	ENSMUSG00000009905.5	Kdsr	1
ENSMUSG00000037679	ENSMUSG00000037679.9	Inf2	12
ENSMUSG00000110221	ENSMUSG00000110221.1	Gm36210	7
ENSMUSG00000116590	ENSMUSG00000116590.1	AC154200.1	17
ENSMUSG00000109441	ENSMUSG00000109441.1	Gm44983	7
ENSMUSG00000108840	ENSMUSG00000108840.1	Gm5320	7
ENSMUSG00000060149	ENSMUSG00000060149.7	BC002059	17
ENSMUSG00000114642	ENSMUSG00000114642.1	Gm5461	14
ENSMUSG00000098196	ENSMUSG00000098196.1	Gm26964	11
ENSMUSG00000072847	ENSMUSG00000072847.4	A530017D24Rik	11
ENSMUSG00000023045	ENSMUSG00000023045.13	Soat2	15
ENSMUSG00000116864	ENSMUSG00000116864.1	Gm3320	17
ENSMUSG00000040935	ENSMUSG00000040935.12	Padi6	4
ENSMUSG00000047786	ENSMUSG00000047786.12	Lix1	17
ENSMUSG00000059734	ENSMUSG00000059734.7	Ndufs8	19
ENSMUSG00000022295	ENSMUSG00000022295.8	Atp6v1c1	15
ENSMUSG00000041168	ENSMUSG00000041168.10	Lonp1	17
ENSMUSG00000043801	ENSMUSG00000043801.7	Oaz1-ps	17
ENSMUSG00000032864	ENSMUSG00000032864.4	Rag2	2
ENSMUSG00000023852	ENSMUSG00000023852.14	Chd1	17
ENSMUSG00000075389	ENSMUSG00000075389.3	2810410L24Rik	11
ENSMUSG00000030699	ENSMUSG00000030699.16	Tbx6	7
ENSMUSG00000061311	ENSMUSG00000061311.6	Rag1	2
ENSMUSG00000074406	ENSMUSG00000074406.5	Zfp628	7
ENSMUSG00000086750	ENSMUSG00000086750.1	Gm11770	11
ENSMUSG00000016529	ENSMUSG00000016529.5	Il10	1
ENSMUSG00000040620	ENSMUSG00000040620.15	Dhx33	11
ENSMUSG00000043993	ENSMUSG00000043993.6	2900052L18Rik	11
ENSMUSG00000027165	ENSMUSG00000027165.16	B230118H07Rik	2
ENSMUSG00000051051	ENSMUSG00000051051.7	Olfr523	7
ENSMUSG00000098109	ENSMUSG00000098109.1	9530085P06Rik	8
ENSMUSG00000097773	ENSMUSG00000097773.1	Gm10614	8
ENSMUSG00000102737	ENSMUSG00000102737.1	1700016A09Rik	8
ENSMUSG00000087451	ENSMUSG00000087451.1	Gm12970	4
ENSMUSG00000110467	ENSMUSG00000110467.1	Gm45781	8
ENSMUSG00000025743	ENSMUSG00000025743.14	Sdc3	4
ENSMUSG00000040010	ENSMUSG00000040010.10	Slc7a5	8
ENSMUSG00000063049	ENSMUSG00000063049.4	Ing2	8
ENSMUSG00000085501	ENSMUSG00000085501.1	Gm11772	11
ENSMUSG00000047804	ENSMUSG00000047804.15	Akap10	11
ENSMUSG00000074357	ENSMUSG00000074357.3	AA386476	8
ENSMUSG00000030697	ENSMUSG00000030697.7	Ppp4c	7
ENSMUSG00000039741	ENSMUSG00000039741.15	Bahcc1	11
ENSMUSG00000030929	ENSMUSG00000030929.17	Eri2	7
ENSMUSG00000097224	ENSMUSG00000097224.1	Gm26716	4
ENSMUSG00000112526	ENSMUSG00000112526.1	Gm35865	10
ENSMUSG00000052934	ENSMUSG00000052934.14	Fbxo31	8
ENSMUSG00000058145	ENSMUSG00000058145.16	Adamts17	7
ENSMUSG00000037470	ENSMUSG00000037470.14	Uggt1	1
ENSMUSG00000000827	ENSMUSG00000000827.18	Tpd52l2	2
ENSMUSG00000104111	ENSMUSG00000104111.1	Gm37294	1
ENSMUSG00000037600	ENSMUSG00000037600.16	Kdf1	4
ENSMUSG00000054693	ENSMUSG00000054693.14	Adam10	9
ENSMUSG00000049396	ENSMUSG00000049396.6	Gemin4	11
ENSMUSG00000069808	ENSMUSG00000069808.13	Fam57a	11
ENSMUSG00000084213	ENSMUSG00000084213.1	Hspe1-ps5	2
ENSMUSG00000063714	ENSMUSG00000063714.15	Sp3os	2
ENSMUSG00000101886	ENSMUSG00000101886.1	Gm28324	8
ENSMUSG00000116934	ENSMUSG00000116934.1	Gm3292	17
ENSMUSG00000042269	ENSMUSG00000042269.15	Fam92b	8
ENSMUSG00000116899	ENSMUSG00000116899.1	Gm49777	17
ENSMUSG00000116614	ENSMUSG00000116614.1	Gm46610	17
ENSMUSG00000108833	ENSMUSG00000108833.1	Gm17909	7
ENSMUSG00000027109	ENSMUSG00000027109.16	Sp3	2
ENSMUSG00000116757	ENSMUSG00000116757.1	Gm4786	17
ENSMUSG00000003660	ENSMUSG00000003660.10	Snrnp200	2
ENSMUSG00000108873	ENSMUSG00000108873.1	Gm44609	7
ENSMUSG00000109079	ENSMUSG00000109079.1	Gm44755	7
ENSMUSG00000048027	ENSMUSG00000048027.9	Rgmb	17
ENSMUSG00000021928	ENSMUSG00000021928.9	Ebpl	14
ENSMUSG00000062906	ENSMUSG00000062906.12	Hdac10	15
ENSMUSG00000062825	ENSMUSG00000062825.15	Actg1	11
ENSMUSG00000021908	ENSMUSG00000021908.10	Gm6768	12
ENSMUSG00000116958	ENSMUSG00000116958.1	Gm6705	17
ENSMUSG00000093614	ENSMUSG00000093614.1	Gm20693	2
ENSMUSG00000030162	ENSMUSG00000030162.14	Olr1	6
ENSMUSG00000116944	ENSMUSG00000116944.1	Gm7477	17
ENSMUSG00000116564	ENSMUSG00000116564.1	Riok2	17
ENSMUSG00000097944	ENSMUSG00000097944.1	A130014A01Rik	8
ENSMUSG00000038046	ENSMUSG00000038046.4	Mrm3	11
ENSMUSG00000022602	ENSMUSG00000022602.14	Arc	15
ENSMUSG00000110523	ENSMUSG00000110523.1	C230057M02Rik	8
ENSMUSG00000074052	ENSMUSG00000074052.7	BC048644	8
ENSMUSG00000019312	ENSMUSG00000019312.10	Grb7	11
ENSMUSG00000020493	ENSMUSG00000020493.8	Prr11	11
ENSMUSG00000111053	ENSMUSG00000111053.1	Gm49343	9
ENSMUSG00000015013	ENSMUSG00000015013.9	Trappc2l	8
ENSMUSG00000038233	ENSMUSG00000038233.9	Gask1a	9
ENSMUSG00000116623	ENSMUSG00000116623.1	Gm49775	17
ENSMUSG00000097379	ENSMUSG00000097379.2	Gm26873	17
ENSMUSG00000095990	ENSMUSG00000095990.1	Zfp97	17
ENSMUSG00000061410	ENSMUSG00000061410.6	Zcchc14	8
ENSMUSG00000116804	ENSMUSG00000116804.1	Gm5223	17
ENSMUSG00000017288	ENSMUSG00000017288.15	Vps53	11
ENSMUSG00000043644	ENSMUSG00000043644.4	0610009L18Rik	11
ENSMUSG00000116802	ENSMUSG00000116802.1	Gm5165	17
ENSMUSG00000027643	ENSMUSG00000027643.9	Ghrh	2
ENSMUSG00000072761	ENSMUSG00000072761.10	Gm6712	17
ENSMUSG00000044287	ENSMUSG00000044287.6	Nrn1l	8
ENSMUSG00000116545	ENSMUSG00000116545.1	Eif3s6-ps3	17
ENSMUSG00000105039	ENSMUSG00000105039.1	Gm32585	5
ENSMUSG00000025380	ENSMUSG00000025380.2	Fscn2	11
ENSMUSG00000096696	ENSMUSG00000096696.1	Zfp960	17
ENSMUSG00000040466	ENSMUSG00000040466.16	Blvrb	7
ENSMUSG00000043773	ENSMUSG00000043773.5	1700048O20Rik	9
ENSMUSG00000116621	ENSMUSG00000116621.1	Gm7483	17
ENSMUSG00000116839	ENSMUSG00000116839.1	Gm49778	17
ENSMUSG00000042812	ENSMUSG00000042812.5	Foxf1	8
ENSMUSG00000083723	ENSMUSG00000083723.1	Rpl23a-ps14	11
ENSMUSG00000035285	ENSMUSG00000035285.6	Nat14	7
ENSMUSG00000036270	ENSMUSG00000036270.16	Edc4	8
ENSMUSG00000049577	ENSMUSG00000049577.15	Zfpm1	8
ENSMUSG00000117275	ENSMUSG00000117275.1	Gm50047	17
ENSMUSG00000025384	ENSMUSG00000025384.15	Faap100	11
ENSMUSG00000026729	ENSMUSG00000026729.9	4930562F07Rik	1
ENSMUSG00000000142	ENSMUSG00000000142.15	Axin2	11
ENSMUSG00000090394	ENSMUSG00000090394.8	4930523C07Rik	1
ENSMUSG00000111776	ENSMUSG00000111776.1	Gm47124	10
ENSMUSG00000110612	ENSMUSG00000110612.1	Gm17827	8
ENSMUSG00000054200	ENSMUSG00000054200.7	Ffar4	19
ENSMUSG00000030846	ENSMUSG00000030846.15	Tial1	7
ENSMUSG00000098040	ENSMUSG00000098040.1	Gm20757	10
ENSMUSG00000043903	ENSMUSG00000043903.4	Zfp469	8
ENSMUSG00000020492	ENSMUSG00000020492.11	Ska2	11
ENSMUSG00000107909	ENSMUSG00000107909.1	2610017A05Rik	6
ENSMUSG00000111104	ENSMUSG00000111104.1	Gm8512	10
ENSMUSG00000003423	ENSMUSG00000003423.15	Pih1d1	7
ENSMUSG00000040029	ENSMUSG00000040029.14	Ipo8	6
ENSMUSG00000019278	ENSMUSG00000019278.5	Dpep1	8
ENSMUSG00000079469	ENSMUSG00000079469.10	Pigb	9
ENSMUSG00000053684	ENSMUSG00000053684.8	BC048403	10
ENSMUSG00000114598	ENSMUSG00000114598.1	D130062J10Rik	13
ENSMUSG00000114612	ENSMUSG00000114612.1	Gm47550	13
ENSMUSG00000050366	ENSMUSG00000050366.6	Olfr524	7
ENSMUSG00000085310	ENSMUSG00000085310.7	Gm11491	11
ENSMUSG00000030433	ENSMUSG00000030433.15	Sbk2	7
ENSMUSG00000041685	ENSMUSG00000041685.16	Fcho2	13
ENSMUSG00000063019	ENSMUSG00000063019.5	Manbal	2
ENSMUSG00000030617	ENSMUSG00000030617.13	Ccdc83	7
ENSMUSG00000001507	ENSMUSG00000001507.16	Itga3	11
ENSMUSG00000041057	ENSMUSG00000041057.10	Wdr43	17
ENSMUSG00000086268	ENSMUSG00000086268.1	Gm11670	11
ENSMUSG00000019478	ENSMUSG00000019478.16	Rab4a	8
ENSMUSG00000035279	ENSMUSG00000035279.8	Ssc5d	7
ENSMUSG00000097706	ENSMUSG00000097706.1	E030037K01Rik	8
ENSMUSG00000025461	ENSMUSG00000025461.11	Cd163l1	7
ENSMUSG00000081392	ENSMUSG00000081392.1	Gm11668	11
ENSMUSG00000038069	ENSMUSG00000038069.6	Cdkn2aip	8
ENSMUSG00000078605	ENSMUSG00000078605.2	E030025P04Rik	11
ENSMUSG00000081524	ENSMUSG00000081524.3	Gm11658	11
ENSMUSG00000039703	ENSMUSG00000039703.15	Nploc4	11
ENSMUSG00000034563	ENSMUSG00000034563.16	Ccpg1	9
ENSMUSG00000018548	ENSMUSG00000018548.15	Trim37	11
ENSMUSG00000082016	ENSMUSG00000082016.3	Pgam1-ps2	7
ENSMUSG00000055200	ENSMUSG00000055200.7	Sertad3	7
ENSMUSG00000110794	ENSMUSG00000110794.1	4930401A07Rik	10
ENSMUSG00000020599	ENSMUSG00000020599.13	Rgs9	11
ENSMUSG00000111604	ENSMUSG00000111604.1	Gm18043	10
ENSMUSG00000024990	ENSMUSG00000024990.13	Rbp4	19
ENSMUSG00000097983	ENSMUSG00000097983.1	Gm26971	8
ENSMUSG00000050989	ENSMUSG00000050989.9	Selenon	4
ENSMUSG00000111759	ENSMUSG00000111759.1	Gm4800	10
ENSMUSG00000015027	ENSMUSG00000015027.11	Galns	8
ENSMUSG00000111121	ENSMUSG00000111121.1	Gm3523	10
ENSMUSG00000054672	ENSMUSG00000054672.13	5830411N06Rik	7
ENSMUSG00000111470	ENSMUSG00000111470.1	Gm31822	10
ENSMUSG00000007833	ENSMUSG00000007833.15	Aldh16a1	7
ENSMUSG00000117637	ENSMUSG00000117637.1	Gm30091	17
ENSMUSG00000031974	ENSMUSG00000031974.8	Abcb10	8
ENSMUSG00000081496	ENSMUSG00000081496.1	Gm13428	2
ENSMUSG00000110665	ENSMUSG00000110665.1	Gm31786	8
ENSMUSG00000026889	ENSMUSG00000026889.12	Rbm18	2
ENSMUSG00000023147	ENSMUSG00000023147.17	Wrb	16
ENSMUSG00000034330	ENSMUSG00000034330.10	Plcg2	8
ENSMUSG00000008384	ENSMUSG00000008384.8	Sertad1	7
ENSMUSG00000016528	ENSMUSG00000016528.10	Mapkapk2	1
ENSMUSG00000040599	ENSMUSG00000040599.13	Mis12	11
ENSMUSG00000097500	ENSMUSG00000097500.1	Gm26537	8
ENSMUSG00000110604	ENSMUSG00000110604.1	Gm45824	8
ENSMUSG00000031825	ENSMUSG00000031825.16	Crispld2	8
ENSMUSG00000110539	ENSMUSG00000110539.1	Gm45864	8
ENSMUSG00000039691	ENSMUSG00000039691.10	Tspan10	11
ENSMUSG00000018168	ENSMUSG00000018168.8	Ikzf3	11
ENSMUSG00000092192	ENSMUSG00000092192.7	Dnaaf4	9
ENSMUSG00000027646	ENSMUSG00000027646.15	Src	2
ENSMUSG00000109875	ENSMUSG00000109875.1	Gm45456	7
ENSMUSG00000026887	ENSMUSG00000026887.9	Mrrf	2
ENSMUSG00000117129	ENSMUSG00000117129.1	Gm49928	16
ENSMUSG00000109273	ENSMUSG00000109273.1	Gm45101	7
ENSMUSG00000102856	ENSMUSG00000102856.1	Gm37084	1
ENSMUSG00000018442	ENSMUSG00000018442.13	Derl2	11
ENSMUSG00000061489	ENSMUSG00000061489.3	Olfr525	7
ENSMUSG00000025386	ENSMUSG00000025386.2	Pde6g	11
ENSMUSG00000062782	ENSMUSG00000062782.4	Olfr527	7
ENSMUSG00000027305	ENSMUSG00000027305.9	Ndufaf1	2
ENSMUSG00000114458	ENSMUSG00000114458.1	Gm47551	13
ENSMUSG00000040828	ENSMUSG00000040828.10	Catsperd	17
ENSMUSG00000021756	ENSMUSG00000021756.12	Il6st	13
ENSMUSG00000025856	ENSMUSG00000025856.15	Pdgfa	5
ENSMUSG00000110059	ENSMUSG00000110059.1	Olfr528-ps1	7
ENSMUSG00000025330	ENSMUSG00000025330.6	Padi4	4
ENSMUSG00000017195	ENSMUSG00000017195.15	Zpbp2	11
ENSMUSG00000039670	ENSMUSG00000039670.2	Oxld1	11
ENSMUSG00000102797	ENSMUSG00000102797.1	Gm37710	9
ENSMUSG00000086158	ENSMUSG00000086158.2	Ccpg1os	9
ENSMUSG00000060112	ENSMUSG00000060112.4	Olfr60	7
ENSMUSG00000097527	ENSMUSG00000097527.2	1700112J16Rik	7
ENSMUSG00000089865	ENSMUSG00000089865.2	Gm44503	9
ENSMUSG00000044276	ENSMUSG00000044276.2	4933427E11Rik	15
ENSMUSG00000103904	ENSMUSG00000103904.1	Gm37497	8
ENSMUSG00000098332	ENSMUSG00000098332.2	2310009A05Rik	9
ENSMUSG00000110704	ENSMUSG00000110704.1	Gm45732	8
ENSMUSG00000063875	ENSMUSG00000063875.6	Rps6-ps1	15
ENSMUSG00000110673	ENSMUSG00000110673.1	Gm45833	8
ENSMUSG00000102305	ENSMUSG00000102305.1	Gm38192	9
ENSMUSG00000031972	ENSMUSG00000031972.5	Acta1	8
ENSMUSG00000022220	ENSMUSG00000022220.14	Adcy4	14
ENSMUSG00000046380	ENSMUSG00000046380.3	Jrk	15
ENSMUSG00000024885	ENSMUSG00000024885.9	Aldh3b1	19
ENSMUSG00000069867	ENSMUSG00000069867.3	Pabpn1l	8
ENSMUSG00000020897	ENSMUSG00000020897.12	Aurkb	11
ENSMUSG00000000826	ENSMUSG00000000826.16	Dnajc5	2
ENSMUSG00000055943	ENSMUSG00000055943.5	Emc7	2
ENSMUSG00000056824	ENSMUSG00000056824.15	Zfp663	2
ENSMUSG00000049957	ENSMUSG00000049957.14	Ccdc137	11
ENSMUSG00000047810	ENSMUSG00000047810.9	Ccdc88b	19
ENSMUSG00000015597	ENSMUSG00000015597.17	Zfp318	17
ENSMUSG00000099630	ENSMUSG00000099630.1	1700096J18Rik	11
ENSMUSG00000020611	ENSMUSG00000020611.14	Gna13	11
ENSMUSG00000097895	ENSMUSG00000097895.1	Gm18709	8
ENSMUSG00000003662	ENSMUSG00000003662.10	Ciao1	2
ENSMUSG00000074939	ENSMUSG00000074939.3	Chrm5	2
ENSMUSG00000021929	ENSMUSG00000021929.9	Kpna3	14
ENSMUSG00000084805	ENSMUSG00000084805.1	Gm12273	11
ENSMUSG00000017478	ENSMUSG00000017478.15	Zc3h18	8
ENSMUSG00000056687	ENSMUSG00000056687.9	Gm11696	11
ENSMUSG00000016526	ENSMUSG00000016526.8	Dyrk3	1
ENSMUSG00000075585	ENSMUSG00000075585.3	6330403L08Rik	5
ENSMUSG00000082029	ENSMUSG00000082029.1	H3f3c	2
ENSMUSG00000118129	ENSMUSG00000118129.1	AC133523.3	19
ENSMUSG00000081416	ENSMUSG00000081416.1	Gm14383	2
ENSMUSG00000110464	ENSMUSG00000110464.1	1700061N14Rik	8
ENSMUSG00000057594	ENSMUSG00000057594.12	Arl16	11
ENSMUSG00000045065	ENSMUSG00000045065.7	9930022D16Rik	11
ENSMUSG00000061974	ENSMUSG00000061974.2	Cldn24	8
ENSMUSG00000030245	ENSMUSG00000030245.10	Golt1b	6
ENSMUSG00000115620	ENSMUSG00000115620.1	Gm45924	15
ENSMUSG00000034308	ENSMUSG00000034308.13	Sdr42e1	8
ENSMUSG00000117269	ENSMUSG00000117269.1	Gm9706	17
ENSMUSG00000006464	ENSMUSG00000006464.9	Bbs1	19
ENSMUSG00000087371	ENSMUSG00000087371.1	Gm15541	7
ENSMUSG00000022598	ENSMUSG00000022598.6	Psca	15
ENSMUSG00000110257	ENSMUSG00000110257.1	Olfr529-ps1	7
ENSMUSG00000026725	ENSMUSG00000026725.17	Tnn	1
ENSMUSG00000053198	ENSMUSG00000053198.13	Prx	7
ENSMUSG00000046442	ENSMUSG00000046442.4	Ppm1e	11
ENSMUSG00000060974	ENSMUSG00000060974.3	Olfr530	7
ENSMUSG00000044664	ENSMUSG00000044664.7	Prss42	9
ENSMUSG00000109690	ENSMUSG00000109690.1	Gm6376	7
ENSMUSG00000101983	ENSMUSG00000101983.1	Gm28976	15
ENSMUSG00000052560	ENSMUSG00000052560.15	Cpne8	15
ENSMUSG00000062712	ENSMUSG00000062712.3	Olfr531	7
ENSMUSG00000080976	ENSMUSG00000080976.1	Gm11490	11
ENSMUSG00000099104	ENSMUSG00000099104.1	Gm17087	17
ENSMUSG00000083386	ENSMUSG00000083386.1	Gm15426	17
ENSMUSG00000085272	ENSMUSG00000085272.7	Sbk3	7
ENSMUSG00000041920	ENSMUSG00000041920.14	Slc16a6	11
ENSMUSG00000030695	ENSMUSG00000030695.16	Aldoa	7
ENSMUSG00000009907	ENSMUSG00000009907.17	Vps4b	1
ENSMUSG00000063823	ENSMUSG00000063823.2	Olfr532	7
ENSMUSG00000023868	ENSMUSG00000023868.17	Pde10a	17
ENSMUSG00000025793	ENSMUSG00000025793.17	Hgs	11
ENSMUSG00000022442	ENSMUSG00000022442.16	Ttll1	15
ENSMUSG00000022296	ENSMUSG00000022296.9	Baalc	15
ENSMUSG00000024165	ENSMUSG00000024165.9	Jpt2	17
ENSMUSG00000056883	ENSMUSG00000056883.5	Olfr533	7
ENSMUSG00000114994	ENSMUSG00000114994.1	Gm49097	15
ENSMUSG00000034850	ENSMUSG00000034850.15	Tmem127	2
ENSMUSG00000038064	ENSMUSG00000038064.7	Cldn22	8
ENSMUSG00000103957	ENSMUSG00000103957.1	Gm10766	2
ENSMUSG00000047180	ENSMUSG00000047180.8	Neurl3	1
ENSMUSG00000020610	ENSMUSG00000020610.16	Amz2	11
ENSMUSG00000110169	ENSMUSG00000110169.1	Olfr534-ps1	7
ENSMUSG00000031563	ENSMUSG00000031563.8	Wwc2	8
ENSMUSG00000043831	ENSMUSG00000043831.12	Lysmd4	7
ENSMUSG00000058267	ENSMUSG00000058267.13	Mrps14	1
ENSMUSG00000063230	ENSMUSG00000063230.5	Olfr535	7
ENSMUSG00000051550	ENSMUSG00000051550.10	Zfp579	7
ENSMUSG00000081740	ENSMUSG00000081740.3	Gm14279	2
ENSMUSG00000082329	ENSMUSG00000082329.1	Gm14287	2
ENSMUSG00000056665	ENSMUSG00000056665.2	Them6	15
ENSMUSG00000087445	ENSMUSG00000087445.1	Gm14286	2
ENSMUSG00000022596	ENSMUSG00000022596.3	Slurp1	15
ENSMUSG00000018451	ENSMUSG00000018451.7	6330403K07Rik	11
ENSMUSG00000078847	ENSMUSG00000078847.1	Gm6746	15
ENSMUSG00000020604	ENSMUSG00000020604.13	Arsg	11
ENSMUSG00000083171	ENSMUSG00000083171.1	Gm12321	11
ENSMUSG00000038150	ENSMUSG00000038150.7	Ormdl3	11
ENSMUSG00000031971	ENSMUSG00000031971.15	Ccsap	8
ENSMUSG00000082098	ENSMUSG00000082098.1	Gm15377	11
ENSMUSG00000052508	ENSMUSG00000052508.10	Olfr536	7
ENSMUSG00000109539	ENSMUSG00000109539.1	Gm44667	7
ENSMUSG00000039058	ENSMUSG00000039058.11	Ak5	3
ENSMUSG00000032493	ENSMUSG00000032493.8	Prss44	9
ENSMUSG00000109363	ENSMUSG00000109363.1	Gm44668	7
ENSMUSG00000038057	ENSMUSG00000038057.4	Dbil5	11
ENSMUSG00000086545	ENSMUSG00000086545.4	Lrrc3c	11
ENSMUSG00000110601	ENSMUSG00000110601.1	Gm45834	8
ENSMUSG00000078134	ENSMUSG00000078134.1	Gm12355	11
ENSMUSG00000040424	ENSMUSG00000040424.15	Hipk4	7
ENSMUSG00000030557	ENSMUSG00000030557.17	Mef2a	7
ENSMUSG00000039509	ENSMUSG00000039509.8	Nup133	8
ENSMUSG00000069830	ENSMUSG00000069830.10	Nlrp1a	11
ENSMUSG00000017286	ENSMUSG00000017286.15	Glod4	11
ENSMUSG00000067787	ENSMUSG00000067787.10	Blcap	2
ENSMUSG00000110092	ENSMUSG00000110092.2	Olfr537-ps1	7
ENSMUSG00000087165	ENSMUSG00000087165.7	2010001A14Rik	11
ENSMUSG00000064224	ENSMUSG00000064224.10	Gsdma3	11
ENSMUSG00000085326	ENSMUSG00000085326.1	Gm15642	11
ENSMUSG00000095901	ENSMUSG00000095901.2	Olfr538	7
ENSMUSG00000097745	ENSMUSG00000097745.1	AI115009	3
ENSMUSG00000067786	ENSMUSG00000067786.16	Nnat	2
ENSMUSG00000039068	ENSMUSG00000039068.16	Zzz3	3
ENSMUSG00000063605	ENSMUSG00000063605.5	Ccdc102a	8
ENSMUSG00000039640	ENSMUSG00000039640.7	Mrpl12	11
ENSMUSG00000024992	ENSMUSG00000024992.13	Pde6c	19
ENSMUSG00000093942	ENSMUSG00000093942.3	Olfr46	7
ENSMUSG00000037447	ENSMUSG00000037447.16	Arid5a	1
ENSMUSG00000116404	ENSMUSG00000116404.1	Gm49541	15
ENSMUSG00000014226	ENSMUSG00000014226.10	Cacybp	1
ENSMUSG00000116136	ENSMUSG00000116136.1	Gm3861	15
ENSMUSG00000103244	ENSMUSG00000103244.1	Gm38092	8
ENSMUSG00000067870	ENSMUSG00000067870.5	Rpl31-ps8	15
ENSMUSG00000097438	ENSMUSG00000097438.1	Gm26784	8
ENSMUSG00000058398	ENSMUSG00000058398.6	Prss43	9
ENSMUSG00000058966	ENSMUSG00000058966.13	Fam57b	7
ENSMUSG00000115877	ENSMUSG00000115877.1	Gm49478	15
ENSMUSG00000001065	ENSMUSG00000001065.15	Zfp276	8
ENSMUSG00000023008	ENSMUSG00000023008.18	Fmnl3	15
ENSMUSG00000108668	ENSMUSG00000108668.1	Gm32816	7
ENSMUSG00000020519	ENSMUSG00000020519.5	Sap30l	11
ENSMUSG00000086929	ENSMUSG00000086929.1	Gm11788	11
ENSMUSG00000067869	ENSMUSG00000067869.4	Tcea1-ps1	15
ENSMUSG00000025792	ENSMUSG00000025792.9	Slc25a10	11
ENSMUSG00000108626	ENSMUSG00000108626.1	Gm40457	7
ENSMUSG00000116210	ENSMUSG00000116210.1	Spn-ps	15
ENSMUSG00000007646	ENSMUSG00000007646.13	Rad51c	11
ENSMUSG00000037335	ENSMUSG00000037335.13	Hand1	11
ENSMUSG00000114515	ENSMUSG00000114515.2	Aldoa	7
ENSMUSG00000108614	ENSMUSG00000108614.1	2610306O10Rik	7
ENSMUSG00000027367	ENSMUSG00000027367.16	Stard7	2
ENSMUSG00000030847	ENSMUSG00000030847.8	Bag3	7
ENSMUSG00000108423	ENSMUSG00000108423.1	Gm44856	7
ENSMUSG00000116428	ENSMUSG00000116428.1	Gm36618	15
ENSMUSG00000097384	ENSMUSG00000097384.1	Gm26815	8
ENSMUSG00000017119	ENSMUSG00000017119.19	Nbr1	11
ENSMUSG00000017667	ENSMUSG00000017667.9	Zfp334	2
ENSMUSG00000003604	ENSMUSG00000003604.14	Aven	2
ENSMUSG00000095762	ENSMUSG00000095762.1	Gm16378	8
ENSMUSG00000108795	ENSMUSG00000108795.1	Gm45121	7
ENSMUSG00000072809	ENSMUSG00000072809.2	9330160F10Rik	11
ENSMUSG00000031962	ENSMUSG00000031962.6	Cdh15	8
ENSMUSG00000027164	ENSMUSG00000027164.8	Traf6	2
ENSMUSG00000045176	ENSMUSG00000045176.3	Borcs6	11
ENSMUSG00000096557	ENSMUSG00000096557.2	Gm7258	7
ENSMUSG00000110459	ENSMUSG00000110459.1	Gm31717	8
ENSMUSG00000110151	ENSMUSG00000110151.2	Gm38416	8
ENSMUSG00000001510	ENSMUSG00000001510.8	Dlx3	11
ENSMUSG00000097987	ENSMUSG00000097987.1	Gm17786	8
ENSMUSG00000017211	ENSMUSG00000017211.14	Gsdma2	11
ENSMUSG00000033594	ENSMUSG00000033594.11	Spata2l	8
ENSMUSG00000087547	ENSMUSG00000087547.1	Platr27	2
ENSMUSG00000022595	ENSMUSG00000022595.7	Lypd2	15
ENSMUSG00000020121	ENSMUSG00000020121.15	Srgap1	10
ENSMUSG00000110656	ENSMUSG00000110656.1	Gm20735	8
ENSMUSG00000020871	ENSMUSG00000020871.8	Dlx4	11
ENSMUSG00000057378	ENSMUSG00000057378.15	Ryr3	2
ENSMUSG00000084983	ENSMUSG00000084983.7	Gm11789	11
ENSMUSG00000027304	ENSMUSG00000027304.9	Rtf1	2
ENSMUSG00000031976	ENSMUSG00000031976.14	Urb2	8
ENSMUSG00000086552	ENSMUSG00000086552.3	Dlx4os	11
ENSMUSG00000025127	ENSMUSG00000025127.15	Gcgr	11
ENSMUSG00000047257	ENSMUSG00000047257.13	Prss45	9
ENSMUSG00000027670	ENSMUSG00000027670.4	Ocstamp	2
ENSMUSG00000109957	ENSMUSG00000109957.1	Gm45353	8
ENSMUSG00000070390	ENSMUSG00000070390.12	Nlrp1b	11
ENSMUSG00000110684	ENSMUSG00000110684.1	Gm45866	8
ENSMUSG00000080701	ENSMUSG00000080701.1	Gm12340	11
ENSMUSG00000017204	ENSMUSG00000017204.4	Gsdma	11
ENSMUSG00000043687	ENSMUSG00000043687.15	1190005I06Rik	8
ENSMUSG00000083548	ENSMUSG00000083548.1	Gm11514	11
ENSMUSG00000085992	ENSMUSG00000085992.1	Gm11515	11
ENSMUSG00000085030	ENSMUSG00000085030.1	2810455O05Rik	8
ENSMUSG00000085917	ENSMUSG00000085917.1	Gm15899	8
ENSMUSG00000020872	ENSMUSG00000020872.4	Tac4	11
ENSMUSG00000112596	ENSMUSG00000112596.1	Gm48804	10
ENSMUSG00000067006	ENSMUSG00000067006.12	Serpinb5	1
ENSMUSG00000011148	ENSMUSG00000011148.14	Adssl1	12
ENSMUSG00000031844	ENSMUSG00000031844.8	Hsd17b2	8
ENSMUSG00000049299	ENSMUSG00000049299.14	Trappc1	11
ENSMUSG00000024038	ENSMUSG00000024038.17	Ndufv3	17
ENSMUSG00000027357	ENSMUSG00000027357.16	Crls1	2
